Przedszkole nr 55;Nowowiejska 36, 50-315 Wrocław, Poland;https://p55wroc.szkolnastrona.pl/
Przedszkole nr 25;Kręta 1A, 50-237 Wrocław, Poland;http://www.p25wroc.szkolnastrona.pl/
Przedszkole nr 79;Piwna 14, 50-353 Wrocław, Poland;http://przedszkole79.pl/
Przedszkole nr 18. Wiolinek;Sienkiewicza 83/85, 50-348 Wrocław, Poland;https://przedszkole18.edu.wroclaw.pl/
Przedszkole nr 109 z Oddziałami Integracyjnymi;Nowowiejska 80a, 50-315 Wrocław, Poland;http://przedszkole109-integracja.przedszkolowo.pl/
Mały Piekarczyk. Przedszkole nr 74;Krzywa 3, 50-338 Wrocław, Poland;https://przedszkole74.edu.wroclaw.pl/
Przedszkole nr 3. Wesoła Trójeczka;Nowowiejska 80, 50-315 Wrocław, Poland;http://p3wroclaw.szkolnastrona.pl/
Przedszkole nr 34 im. Polskiego Czerwonego Krzyża;Gdańska 26, 50-344 Wrocław, Poland;https://p34wroc.szkolnastrona.pl/
Punkt Przedszkolny EDULINEK;Barlickiego 1/1b, 50-324 Wrocław, Poland;https://m.facebook.com/Edulinek-Punkt-Przedszkolny-ul-Barlickiego-11b-Wroc%C5%82aw-104437658711102/
Przedszkole nr 43 "Kolorowe";Tadeusza Kościuszki 27a, 50-011 Wrocław, Poland;https://p43wroclaw.stronyzklasa.pl/
Wesołe Nutki. Przedszkole Niepubliczne;Łaciarska 8, 50-104 Wrocław, Poland;http://www.wesolenutki.eu/
Przedszkole nr 33. Staromiejskie;Łąkowa 2A, 50-529 Wrocław, Poland;https://p33wroc.przedszkola.net.pl/
Przedszkole Sióstr Jadwiżanek;Piwna 2, 50-349 Wrocław, Poland;http://www.przedszkole-jadwizanek.wroc.pl/
Przedszkole nr 21;wybrzeże Józefa Conrada-Korzeniowskiego 10, 50-226 Wrocław, Poland;http://www.szkolnictwo.pl/index.php?id=F01192
Przedszkole i żłobek Luppo Puppo;Antoniego Słonimskiego 1, 50-304 Wrocław, Poland;http://luppopuppo.pl/
Przedszkole nr 35 z oddziałami integracyjnymi "Tęczowy Domek";Gen. Kazimierza Pułaskiego 20a, 50-446 Wrocław, Poland;https://przedszkole35.edu.wroclaw.pl/
146 kindergarten "Island Children ';Haukego-Bosaka 9, 50-447 Wrocław, Poland;https://przedszkole146-wroc.edupage.org/
